N Datos,Tiempo Promedio
100000,0.011472966666588036
143844,0.017131666666500678
206913,0.026163133333587513
297635,0.03997803333337894
428133,0.05870493333319852
615848,0.08429393333365927
885866,0.11643376666658393
1274274,0.16685099999995145
1832980,0.24123133333341684
2636650,0.3410586999998486
3792690,0.5124512333334982
5455594,0.6886348333331019
7847599,1.0254303000004559
11288378,1.4296017666665648
16237767,2.0568419999999605
23357214,2.9622560666663653
33598182,4.3030927666665475
48329302,6.160512566667118
69519279,9.165253133333257
100000000,13.150677766667286
